"","partcipantId","teamId","participantId","win","item0","item1","item2","item3","item4","item5","item6","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","inhibitorKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist","combatPlayerScore","objectivePlayerScore","totalPlayerScore","totalScoreRank","playerScore0","playerScore1","playerScore2","playerScore3","playerScore4","playerScore5","playerScore6","playerScore7","playerScore8","playerScore9","platformId","accountId","summonerName","summonerId","currentPlatformId","currentAccountId","matchHistoryUri","profileIcon","duration"
"33429710878",9,200,9,TRUE,3153,3031,3046,1055,3111,1011,3340,13,5,11,5,2,3,520,1,0,0,0,0,130759,11890,118594,274,471,20268,1997,17997,274,131,1,17412,5567,2832,15,24,19280,7679,10459,1141,12378,12500,0,0,168,11,0,9,128,14,0,0,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",35512027,"Mashu",31860960,"EUW1",35512027,"/v1/stats/player_history/EUW1/35512027",691,1442
"33429710879",10,200,10,TRUE,3152,3157,1056,1055,3009,0,3340,5,3,16,3,1,1,526,0,0,0,0,0,57424,42425,14999,0,0,13178,11711,1467,0,1571,1,6739,4142,2206,11,16,11334,3844,6878,612,8452,7300,1,0,78,0,0,0,71,13,0,0,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",228247387,"RKS Reidoz",87978165,"EUW1",228247387,"/v1/stats/player_history/EUW1/228247387",3015,1442
"33428886160",1,100,1,FALSE,3040,2302,2055,3504,3158,3100,3341,3,6,7,2,1,1,796,0,0,0,0,0,28988,22539,4148,2301,0,16539,13101,2419,1018,16563,5,13641,2889,153,80,25,20944,2051,18602,290,12213,12150,0,0,14,1,1,0,58,15,8,0,36,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",27299325,"ZombieStalin",23314637,"EUW1",27299325,"/v1/stats/player_history/EUW1/27299325",507,2544
"33428886161",2,100,2,FALSE,3047,3143,3071,1400,3065,1029,3340,3,9,6,3,1,1,548,0,0,0,0,0,194101,3522,174417,16162,0,20578,255,17955,2367,19699,1,50985,14069,126,32,85,50433,12428,36983,1021,13411,13875,1,0,62,102,56,13,967,17,2,0,21,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",39519553,"Ritsugamesh",36737773,"EUW1",39519553,"/v1/stats/player_history/EUW1/39519553",2095,2544
"33428886162",3,100,3,FALSE,0,3153,3047,3085,3022,3124,3363,3,9,6,2,2,1,794,1,0,0,0,0,238617,81454,142232,14929,534,28233,16016,7827,4389,6666,4,15339,9485,0,34,21,28500,3894,23690,916,14889,14375,0,0,271,38,21,0,1446,17,1,0,15,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",27043264,"John De Scone",22997884,"EUW1",27043264,"/v1/stats/player_history/EUW1/27043264",1110,2544
"33428886163",4,100,4,FALSE,3078,3031,3026,3047,3046,3142,3363,4,6,8,2,1,2,764,0,0,0,0,0,412823,22742,368871,21208,1185,41488,11156,23581,6750,6432,1,25090,7021,1770,23,36,29524,3629,24480,1414,16835,16358,0,0,271,40,36,0,1236,18,1,0,14,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",28369117,"Blvck Infinity",24000094,"EUW1",28369117,"/v1/stats/player_history/EUW1/28369117",3014,2544
"33428886164",5,100,5,FALSE,3026,3748,3047,3078,3124,1028,3340,3,9,4,0,1,0,617,0,0,0,0,0,220961,36294,182211,2455,0,14196,3384,9239,1571,3050,1,32392,5744,5744,29,31,34820,5275,28862,681,15489,15308,2,0,269,23,22,0,163,18,1,0,21,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",39831218,"Gozuki",36941406,"EUW1",39831218,"/v1/stats/player_history/EUW1/39831218",536,2544
"33428886165",6,200,6,TRUE,3006,3508,3153,3046,3036,3026,3340,5,3,20,4,1,1,1552,0,0,0,0,0,273498,1528,270142,1828,711,34959,891,34067,0,7581,2,18880,25543,8117,27,1,23313,7506,14462,1345,17223,16075,2,0,320,14,11,1,44,17,1,0,17,4,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",41808027,"Red Whale",39619524,"EUW1",41808027,"/v1/stats/player_history/EUW1/41808027",3020,2544
"33428886166",7,200,7,TRUE,3401,3107,3190,2045,3109,3047,3364,3,2,25,0,1,0,1152,0,0,0,0,0,39936,11474,11849,16612,0,8707,6144,1972,590,18529,6,47050,5179,1273,79,36,28441,10915,14267,3258,13323,11850,1,0,62,1,0,0,104,16,4,0,32,4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",217236952,"TheDeathCookie1e",66224521,"EUW1",217236952,"/v1/stats/player_history/EUW1/217236952",3016,2544
"33428886167",8,200,8,TRUE,3109,3190,3107,3504,3047,2053,3364,2,2,23,0,1,0,1148,0,0,0,0,0,264162,17348,12683,234130,0,9832,6658,2243,930,15693,7,22969,14467,1516,41,65,21757,5352,13757,2647,13119,11525,1,1,39,49,33,6,240,17,3,0,10,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EUW1",28537998,"Kazeel",24136128,"EUW1",28537998,"/v1/stats/player_history/EUW1/28537998",3014,2544
